"","ID_UC_G0","bin","count","GC_UCN_MAI_2025","GC_CNT_GAD_2025","city_country","prop"
"105",2902,"p0.8_1",58686,"Mombasa","Kenya","Mombasa (Kenya)",0.0638460366848713
"106",291,"p0_0.2",1430289,"Alexandria","Egypt","Alexandria (Egypt)",0.705202206688995
"107",291,"p0.2_0.4",366400,"Alexandria","Egypt","Alexandria (Egypt)",0.180653062794196
"108",291,"p0.4_0.6",126010,"Alexandria","Egypt","Alexandria (Egypt)",0.0621290732606349
"109",291,"p0.6_0.8",70717,"Alexandria","Egypt","Alexandria (Egypt)",0.0348669286070337
"110",291,"p0.8_1",34781,"Alexandria","Egypt","Alexandria (Egypt)",0.0171487286491401
"111",295,"p0_0.2",371594,"Bujumbura","Burundi","Bujumbura (Burundi)",0.488909881770314
"112",295,"p0.2_0.4",147447,"Bujumbura","Burundi","Bujumbura (Burundi)",0.19399746857427
"113",295,"p0.4_0.6",114313,"Bujumbura","Burundi","Bujumbura (Burundi)",0.1504027387816
"114",295,"p0.6_0.8",88711,"Bujumbura","Burundi","Bujumbura (Burundi)",0.116717935493378
"115",295,"p0.8_1",37981,"Bujumbura","Burundi","Bujumbura (Burundi)",0.0499719753804375
"116",2967,"p0_0.2",432151,"Mogadishu","Somalia","Mogadishu (Somalia)",0.352731983081311
"117",2967,"p0.2_0.4",425717,"Mogadishu","Somalia","Mogadishu (Somalia)",0.347480398382571
"118",2967,"p0.4_0.6",237520,"Mogadishu","Somalia","Mogadishu (Somalia)",0.193869505384629
"119",2967,"p0.6_0.8",86789,"Mogadishu","Somalia","Mogadishu (Somalia)",0.0708392577586165
"120",2967,"p0.8_1",42977,"Mogadishu","Somalia","Mogadishu (Somalia)",0.0350788553928731
"121",299,"p0_0.2",2045475,"Maputo","Mozambique","Maputo (Mozambique)",0.522400676894489
"122",299,"p0.2_0.4",627134,"Maputo","Mozambique","Maputo (Mozambique)",0.160165842214424
"123",299,"p0.4_0.6",447349,"Maputo","Mozambique","Maputo (Mozambique)",0.114249951922205
"124",299,"p0.6_0.8",334999,"Maputo","Mozambique","Maputo (Mozambique)",0.0855565110103896
"125",299,"p0.8_1",460572,"Maputo","Mozambique","Maputo (Mozambique)",0.117627017958493
"126",2996,"p0_0.2",1587102,"Abidjan","Côte d'Ivoire","Abidjan (Côte d'Ivoire)",0.48382255614435
"127",2996,"p0.2_0.4",423487,"Abidjan","Côte d'Ivoire","Abidjan (Côte d'Ivoire)",0.129098547436713
"128",2996,"p0.4_0.6",410102,"Abidjan","Côte d'Ivoire","Abidjan (Côte d'Ivoire)",0.125018176475053
"129",2996,"p0.6_0.8",440209,"Abidjan","Côte d'Ivoire","Abidjan (Côte d'Ivoire)",0.134196191308276
"130",2996,"p0.8_1",419439,"Abidjan","Côte d'Ivoire","Abidjan (Côte d'Ivoire)",0.127864528635607
"131",3175,"p0_0.2",6050173,"Accra","Ghana","Accra (Ghana)",0.727599738745045
"132",3175,"p0.2_0.4",1130845,"Accra","Ghana","Accra (Ghana)",0.135996528787051
"133",3175,"p0.4_0.6",427618,"Accra","Ghana","Accra (Ghana)",0.0514257600704441
"134",3175,"p0.6_0.8",302834,"Accra","Ghana","Accra (Ghana)",0.0364191138473424
"135",3175,"p0.8_1",403779,"Accra","Ghana","Accra (Ghana)",0.0485588585501168
"136",3306,"p0_0.2",319920,"Nampula","Mozambique","Nampula (Mozambique)",0.393143340268314
"137",3306,"p0.2_0.4",250899,"Nampula","Mozambique","Nampula (Mozambique)",0.308324802856901
"138",3306,"p0.4_0.6",160720,"Nampula","Mozambique","Nampula (Mozambique)",0.197505619054524
"139",3306,"p0.6_0.8",72417,"Nampula","Mozambique","Nampula (Mozambique)",0.088991814429265
"140",3306,"p0.8_1",9793,"Nampula","Mozambique","Nampula (Mozambique)",0.0120344233909965
"141",3397,"p0_0.2",2267889,"Algiers","Algeria","Algiers (Algeria)",0.857301138361114
"142",3397,"p0.2_0.4",299204,"Algiers","Algeria","Algiers (Algeria)",0.113104270007129
"143",3397,"p0.4_0.6",58157,"Algiers","Algeria","Algiers (Algeria)",0.0219843485742324
"144",3397,"p0.6_0.8",15486,"Algiers","Algeria","Algiers (Algeria)",0.00585397496467429
"145",3397,"p0.8_1",4646,"Algiers","Algeria","Algiers (Algeria)",0.00175626809285011
"146",3509,"p0_0.2",280344,"Malanje","Angola","Malanje (Angola)",0.699578023272353
"147",3509,"p0.2_0.4",101012,"Malanje","Angola","Malanje (Angola)",0.252068085233809
"148",3509,"p0.4_0.6",18503,"Malanje","Angola","Malanje (Angola)",0.0461728881824057
"149",3509,"p0.6_0.8",870,"Malanje","Angola","Malanje (Angola)",0.00217102160291266
"150",3509,"p0.8_1",4,"Malanje","Angola","Malanje (Angola)",9.98170851913868e-06
"151",3512,"p0_0.2",8330601,"Johannesburg","South Africa","Johannesburg (South Africa)",0.75326595902149
"152",3512,"p0.2_0.4",1381526,"Johannesburg","South Africa","Johannesburg (South Africa)",0.124919739560582
"153",3512,"p0.4_0.6",750893,"Johannesburg","South Africa","Johannesburg (South Africa)",0.0678969183336861
"154",3512,"p0.6_0.8",424361,"Johannesburg","South Africa","Johannesburg (South Africa)",0.0383713846859691
"155",3512,"p0.8_1",171928,"Johannesburg","South Africa","Johannesburg (South Africa)",0.0155459983982724
"156",3562,"p0_0.2",56138,"Tshikapa","Democratic Republic of the Congo","Tshikapa (Democratic Republic of the Congo)",0.214726953514969
"157",3562,"p0.2_0.4",158351,"Tshikapa","Democratic Republic of the Congo","Tshikapa (Democratic Republic of the Congo)",0.605690046244057
"158",3562,"p0.4_0.6",34845,"Tshikapa","Democratic Republic of the Congo","Tshikapa (Democratic Republic of the Congo)",0.133281568549451
"159",3562,"p0.6_0.8",10286,"Tshikapa","Democratic Republic of the Congo","Tshikapa (Democratic Republic of the Congo)",0.0393437857396945
